fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2022-08-12,La Liga,2022-23,Osasuna,Sevilla,2,1,5,2,5,3,0,0,3,7,8,0,1,1,3.2,3.1,2.4,3.38,3.1,2.48
2022-08-13,La Liga,2022-23,Celta,Espanol,2,2,3,3,5,2,0,0,4,6,7,0,1,1,1.8,3.75,4.75,1.81,3.75,4.87
2022-08-13,La Liga,2022-23,Valladolid,Villarreal,0,3,4,5,1,0,0,0,3,9,1,0,0,1,3.9,3.6,1.9,4.05,3.78,1.95
2022-08-13,La Liga,2022-23,Barcelona,Vallecano,0,0,8,0,3,6,1,0,0,8,9,1,0,0,1.22,7.0,12.0,1.22,6.83,15.0
2022-08-14,La Liga,2022-23,Cadiz,Sociedad,0,1,3,6,4,2,0,0,1,9,6,0,0,0,3.6,3.2,2.2,3.62,3.29,2.26
2022-08-14,La Liga,2022-23,Valencia,Girona,1,0,4,4,2,3,1,0,1,8,5,1,0,0,1.85,3.4,4.5,1.94,3.42,4.65
2022-08-14,La Liga,2022-23,Almeria,Real Madrid,1,2,2,15,3,1,0,0,3,17,4,0,1,1,7.5,5.0,1.4,7.38,5.0,1.45
2022-08-15,La Liga,2022-23,Ath Bilbao,Mallorca,0,0,7,2,0,6,0,0,0,9,6,0,0,0,1.6,3.75,6.5,1.61,3.94,6.73
2022-08-15,La Liga,2022-23,Getafe,Ath Madrid,0,3,3,6,2,1,0,0,3,9,3,0,0,1,5.0,3.1,1.9,4.99,3.14,1.98
2022-08-15,La Liga,2022-23,Betis,Elche,3,0,8,4,3,6,0,1,3,12,9,1,0,1,1.44,4.5,7.0,1.46,4.74,7.71
2022-08-19,La Liga,2022-23,Sevilla,Valladolid,1,1,12,2,3,2,1,1,2,14,5,2,1,0,1.5,4.2,6.5,1.56,4.21,6.92
2022-08-19,La Liga,2022-23,Espanol,Vallecano,0,2,9,2,2,5,1,1,2,11,7,2,0,0,2.45,3.1,3.1,2.56,3.04,3.3
