fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2019-09-22,Primeira Liga,2019-20,Tondela,Guimaraes,1,3,5,5,2,4,0,0,4,10,6,0,1,1
2019-09-22,Primeira Liga,2019-20,Porto,Santa Clara,2,0,9,0,4,4,0,0,2,9,8,0,0,0
2019-09-23,Primeira Liga,2019-20,Sp Braga,Maritimo,2,2,9,3,2,5,0,1,4,12,7,1,1,1
2019-09-23,Primeira Liga,2019-20,Sp Lisbon,Famalicao,1,2,6,6,3,2,0,0,3,12,5,0,1,1
2019-09-27,Primeira Liga,2019-20,Boavista,Tondela,0,0,6,4,3,4,0,0,0,10,7,0,0,0
2019-09-28,Primeira Liga,2019-20,Famalicao,Belenenses,3,1,6,2,2,2,0,0,4,8,4,0,1,1
2019-09-28,Primeira Liga,2019-20,Benfica,Setubal,1,0,14,3,4,4,1,0,1,17,8,1,0,0
2019-09-28,Primeira Liga,2019-20,Maritimo,Moreirense,2,1,6,2,4,6,0,0,3,8,10,0,1,1
2019-09-29,Primeira Liga,2019-20,Guimaraes,Pacos Ferreira,1,0,10,3,1,6,0,1,1,13,7,1,0,0
2019-09-29,Primeira Liga,2019-20,Santa Clara,Gil Vicente,1,0,6,6,4,1,0,1,1,12,5,1,0,0
2019-09-29,Primeira Liga,2019-20,Portimonense,Sp Braga,0,1,2,7,3,4,0,0,1,9,7,0,0,0
2019-09-29,Primeira Liga,2019-20,Rio Ave,Porto,0,1,0,6,3,3,0,0,1,6,6,0,0,0
2019-09-30,Primeira Liga,2019-20,Aves,Sp Lisbon,0,1,3,7,3,2,0,0,1,10,5,0,0,0
2019-10-05,Primeira Liga,2019-20,Aves,Tondela,0,1,6,8,1,1,0,0,1,14,2,0,0,0
2019-10-25,Primeira Liga,2019-20,Pacos Ferreira,Rio Ave,0,0,2,4,0,1,0,0,0,6,1,0,0,0
2019-10-26,Primeira Liga,2019-20,Belenenses,Aves,3,2,7,6,3,2,0,0,5,13,5,0,1,1
2019-10-26,Primeira Liga,2019-20,Gil Vicente,Portimonense,1,1,2,3,3,2,1,0,2,5,5,1,1,0
2019-10-26,Primeira Liga,2019-20,Setubal,Maritimo,0,0,5,5,0,1,0,0,0,10,1,0,0,0
2019-10-26,Primeira Liga,2019-20,Moreirense,Boavista,1,1,1,10,3,4,1,0,2,11,7,1,1,0
2019-10-27,Primeira Liga,2019-20,Tondela,Benfica,0,1,5,5,1,2,0,0,1,10,3,0,0,0
2019-10-27,Primeira Liga,2019-20,Porto,Famalicao,3,0,4,3,0,3,0,0,3,7,3,0,0,1
2019-10-27,Primeira Liga,2019-20,Sp Lisbon,Guimaraes,3,1,3,4,1,1,0,0,4,7,2,0,1,1
2019-10-28,Primeira Liga,2019-20,Sp Braga,Santa Clara,2,0,4,6,1,1,0,0,2,10,2,0,0,0
2019-10-30,Primeira Liga,2019-20,Famalicao,Gil Vicente,2,1,9,2,3,1,0,0,3,11,4,0,1,1
2019-10-30,Primeira Liga,2019-20,Benfica,Portimonense,4,0,5,1,1,1,0,0,4,6,2,0,0,1
2019-10-30,Primeira Liga,2019-20,Guimaraes,Belenenses,5,0,6,3,1,4,0,0,5,9,5,0,0,1
2019-10-30,Primeira Liga,2019-20,Maritimo,Porto,1,1,6,9,4,5,0,0,2,15,9,0,1,0
2019-10-30,Primeira Liga,2019-20,Rio Ave,Moreirense,1,1,13,3,1,1,0,0,2,16,2,0,1,0
2019-10-31,Primeira Liga,2019-20,Pacos Ferreira,Sp Lisbon,1,2,10,4,5,7,0,0,3,14,12,0,1,1
2019-10-31,Primeira Liga,2019-20,Boavista,Sp Braga,2,0,3,7,4,2,0,0,2,10,6,0,0,0
2019-10-31,Primeira Liga,2019-20,Santa Clara,Setubal,1,1,7,6,3,5,0,1,2,13,8,1,1,0
2019-11-02,Primeira Liga,2019-20,Benfica,Rio Ave,2,0,10,2,1,3,0,0,2,12,4,0,0,0
2019-11-02,Primeira Liga,2019-20,Moreirense,Guimaraes,1,1,8,9,5,3,0,0,2,17,8,0,1,0
2019-11-03,Primeira Liga,2019-20,Sp Braga,Famalicao,2,2,11,2,5,4,0,1,4,13,9,1,1,1
2019-11-03,Primeira Liga,2019-20,Porto,Aves,1,0,6,2,1,1,0,0,1,8,2,0,0,0
2019-11-03,Primeira Liga,2019-20,Gil Vicente,Maritimo,2,0,4,3,0,0,0,0,2,7,0,0,0,0
2019-11-03,Primeira Liga,2019-20,Tondela,Sp Lisbon,1,0,1,7,4,3,0,0,1,8,7,0,0,0
