fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2018-08-03,Championship,2018-19,Reading,Derby,1,2,2,4,3,4,0,0,3,6,7,0,1,1
2018-08-04,Championship,2018-19,West Brom,Bolton,1,2,10,6,1,0,0,0,3,16,1,0,1,1
2018-08-04,Championship,2018-19,Sheffield United,Swansea,1,2,5,1,0,0,0,0,3,6,0,0,1,1
2018-08-04,Championship,2018-19,Preston,QPR,1,0,6,4,0,2,0,0,1,10,2,0,0,0
2018-08-04,Championship,2018-19,Millwall,Middlesbrough,2,2,6,6,3,2,0,0,4,12,5,0,1,1
2018-08-04,Championship,2018-19,Wigan,Sheffield Weds,3,2,3,3,1,3,0,1,5,6,4,1,1,1
2018-08-04,Championship,2018-19,Bristol City,Nott'm Forest,1,1,7,9,0,4,0,0,2,16,4,0,1,0
2018-08-04,Championship,2018-19,Brentford,Rotherham,5,1,13,3,0,2,0,0,6,16,2,0,1,1
2018-08-04,Championship,2018-19,Birmingham,Norwich,2,2,4,4,0,3,0,0,4,8,3,0,1,1
2018-08-04,Championship,2018-19,Ipswich,Blackburn,2,2,3,0,2,3,0,0,4,3,5,0,1,1
2018-08-05,Championship,2018-19,Leeds,Stoke,3,1,3,3,0,0,0,0,4,6,0,0,1,1
2018-08-06,Championship,2018-19,Hull,Aston Villa,1,3,4,2,0,2,0,0,4,6,2,0,1,1
2018-08-07,Championship,2018-19,Middlesbrough,Sheffield United,3,0,7,6,0,3,0,0,3,13,3,0,0,1
2018-08-07,Championship,2018-19,Nott'm Forest,West Brom,1,1,7,6,2,1,0,0,2,13,3,0,1,0
2018-08-11,Championship,2018-19,QPR,Sheffield United,1,2,4,6,1,1,0,0,3,10,2,0,1,1
2018-08-11,Championship,2018-19,Swansea,Preston,1,0,4,5,0,1,0,0,1,9,1,0,0,0
2018-08-11,Championship,2018-19,Stoke,Brentford,1,1,2,6,2,0,0,0,2,8,2,0,1,0
2018-08-11,Championship,2018-19,Sheffield Weds,Hull,1,1,5,6,3,1,0,0,2,11,4,0,1,0
2018-08-11,Championship,2018-19,Rotherham,Ipswich,1,0,0,12,2,0,0,0,1,12,2,0,0,0
2018-08-11,Championship,2018-19,Nott'm Forest,Reading,1,0,6,4,0,1,0,0,1,10,1,0,0,0
2018-08-11,Championship,2018-19,Blackburn,Millwall,0,0,7,1,0,1,0,0,0,8,1,0,0,0
2018-08-11,Championship,2018-19,Middlesbrough,Birmingham,1,0,3,9,0,1,0,1,1,12,1,1,0,0
2018-08-11,Championship,2018-19,Derby,Leeds,1,4,3,5,4,2,0,0,5,8,6,0,1,1
2018-08-11,Championship,2018-19,Bolton,Bristol City,2,2,4,10,6,2,0,0,4,14,8,0,1,1
2018-08-11,Championship,2018-19,Aston Villa,Wigan,3,2,3,4,1,4,0,0,5,7,5,0,1,1
2018-08-11,Championship,2018-19,Norwich,West Brom,3,4,4,2,0,0,0,0,7,6,0,0,1,1
2018-08-17,Championship,2018-19,Birmingham,Swansea,0,0,10,1,1,1,0,0,0,11,2,0,0,0
2018-08-18,Championship,2018-19,Sheffield United,Norwich,2,1,9,4,2,2,0,0,3,13,4,0,1,1
2018-08-18,Championship,2018-19,Wigan,Nott'm Forest,2,2,8,14,2,4,0,0,4,22,6,0,1,1
2018-08-18,Championship,2018-19,West Brom,QPR,7,1,3,5,2,1,0,0,8,8,3,0,1,1
2018-08-18,Championship,2018-19,Reading,Bolton,0,1,5,3,2,1,0,0,1,8,3,0,0,0
2018-08-18,Championship,2018-19,Preston,Stoke,2,2,4,2,2,3,0,0,4,6,5,0,1,1
2018-08-18,Championship,2018-19,Leeds,Rotherham,2,0,7,1,0,1,0,0,2,8,1,0,0,0
2018-08-18,Championship,2018-19,Ipswich,Aston Villa,1,1,2,7,1,2,1,0,2,9,3,1,1,0
2018-08-18,Championship,2018-19,Hull,Blackburn,0,1,5,1,1,3,0,0,1,6,4,0,0,0
2018-08-18,Championship,2018-19,Bristol City,Middlesbrough,0,2,4,4,1,2,0,0,2,8,3,0,0,0
2018-08-18,Championship,2018-19,Millwall,Derby,2,1,4,10,1,1,0,0,3,14,2,0,1,1
2018-08-19,Championship,2018-19,Brentford,Sheffield Weds,2,0,9,0,1,1,0,0,2,9,2,0,0,0
2018-08-21,Championship,2018-19,Derby,Ipswich,2,0,4,4,2,2,0,0,2,8,4,0,0,0
2018-08-21,Championship,2018-19,QPR,Bristol City,0,3,2,3,1,3,0,0,3,5,4,0,0,1
2018-08-21,Championship,2018-19,Rotherham,Hull,2,3,7,4,1,1,0,0,5,11,2,0,1,1
2018-08-21,Championship,2018-19,Swansea,Leeds,2,2,2,5,0,4,0,0,4,7,4,0,1,1
