fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2025-09-27,First Division A,2025-26,St. Gilloise,Westerlo,2,0,9,2,2,11,0,0
2025-09-28,First Division A,2025-26,St Truiden,Genk,1,2,3,6,3,9,1,1
2025-09-28,First Division A,2025-26,Cercle Brugge,Gent,2,4,10,2,6,12,1,1
2025-09-28,First Division A,2025-26,Charleroi,Mechelen,0,2,5,3,2,8,0,0
2025-09-28,First Division A,2025-26,Dender,RAAL La Louviere,0,0,4,2,0,6,0,0
2025-10-03,First Division A,2025-26,Gent,Charleroi,2,1,4,2,3,6,1,1
2025-10-04,First Division A,2025-26,Antwerp,Cercle Brugge,1,1,8,3,2,11,1,0
2025-10-04,First Division A,2025-26,RAAL La Louviere,Waregem,0,0,12,1,0,13,0,0
2025-10-04,First Division A,2025-26,Mechelen,St Truiden,1,3,5,9,4,14,1,1
2025-10-05,First Division A,2025-26,Anderlecht,Standard,1,0,6,4,1,10,0,0
2025-10-05,First Division A,2025-26,Genk,Dender,2,1,8,3,3,11,1,1
2025-10-05,First Division A,2025-26,Club Brugge,St. Gilloise,1,0,7,3,1,10,0,0
2025-10-05,First Division A,2025-26,Westerlo,Oud-Heverlee Leuven,2,0,6,6,2,12,0,0
2025-10-18,First Division A,2025-26,RAAL La Louviere,Westerlo,0,0,2,2,0,4,0,0
2025-10-18,First Division A,2025-26,Oud-Heverlee Leuven,Club Brugge,0,1,4,11,1,15,0,0
2025-10-18,First Division A,2025-26,St. Gilloise,Charleroi,3,1,1,2,4,3,1,1
2025-10-19,First Division A,2025-26,Cercle Brugge,Genk,2,2,4,4,4,8,1,1
2025-10-19,First Division A,2025-26,Dender,Mechelen,1,3,4,4,4,8,1,1
2025-10-19,First Division A,2025-26,St Truiden,Anderlecht,2,2,5,6,4,11,1,1
2025-10-19,First Division A,2025-26,Waregem,Gent,4,1,3,12,5,15,1,1
2025-10-20,First Division A,2025-26,Standard,Antwerp,1,0,4,5,1,9,0,0
2025-10-24,First Division A,2025-26,Charleroi,Anderlecht,1,0,5,9,1,14,0,0
2025-10-25,First Division A,2025-26,Westerlo,Dender,1,1,11,3,2,14,1,0
2025-10-25,First Division A,2025-26,Mechelen,Oud-Heverlee Leuven,1,1,6,2,2,8,1,0
2025-10-25,First Division A,2025-26,Gent,Standard,4,0,4,4,4,8,0,1
2025-10-26,First Division A,2025-26,Antwerp,Club Brugge,0,1,1,5,1,6,0,0
2025-10-26,First Division A,2025-26,Cercle Brugge,Waregem,1,1,0,3,2,3,1,0
2025-10-26,First Division A,2025-26,Genk,RAAL La Louviere,1,1,9,3,2,12,1,0
2025-10-26,First Division A,2025-26,St. Gilloise,St Truiden,2,0,5,6,2,11,0,0
2025-10-31,First Division A,2025-26,Standard,Charleroi,3,1,4,5,4,9,1,1
2025-11-01,First Division A,2025-26,Waregem,St. Gilloise,1,4,2,5,5,7,1,1
2025-11-01,First Division A,2025-26,Club Brugge,Dender,2,1,7,4,3,11,1,1
2025-11-01,First Division A,2025-26,Anderlecht,Mechelen,3,1,9,2,4,11,1,1
2025-11-02,First Division A,2025-26,RAAL La Louviere,Cercle Brugge,2,1,1,5,3,6,1,1
2025-11-02,First Division A,2025-26,St Truiden,Antwerp,1,0,6,4,1,10,0,0
2025-11-02,First Division A,2025-26,Oud-Heverlee Leuven,Gent,4,0,0,9,4,9,0,1
2025-11-02,First Division A,2025-26,Westerlo,Genk,0,1,4,4,1,8,0,0
2025-11-07,First Division A,2025-26,Dender,Waregem,2,2,6,5,4,11,1,1
2025-11-08,First Division A,2025-26,Cercle Brugge,Oud-Heverlee Leuven,1,2,8,3,3,11,1,1
2025-11-08,First Division A,2025-26,Charleroi,Westerlo,2,0,7,5,2,12,0,0
2025-11-08,First Division A,2025-26,Antwerp,RAAL La Louviere,3,1,7,4,4,11,1,1
2025-11-09,First Division A,2025-26,Anderlecht,Club Brugge,1,0,6,5,1,11,0,0
2025-11-09,First Division A,2025-26,St Truiden,Standard,1,0,9,1,1,10,0,0
2025-11-09,First Division A,2025-26,Gent,Genk,1,1,6,2,2,8,1,0
2025-11-09,First Division A,2025-26,Mechelen,St. Gilloise,1,1,4,10,2,14,1,0
2025-11-21,First Division A,2025-26,Standard,Waregem,0,0,5,3,0,8,0,0
2025-11-22,First Division A,2025-26,Westerlo,Gent,0,0,9,2,0,11,0,0
2025-11-22,First Division A,2025-26,Club Brugge,Charleroi,1,0,6,11,1,17,0,0
2025-11-22,First Division A,2025-26,St. Gilloise,Cercle Brugge,2,0,7,4,2,11,0,0
2025-11-23,First Division A,2025-26,RAAL La Louviere,Anderlecht,0,1,5,7,1,12,0,0
2025-11-23,First Division A,2025-26,Oud-Heverlee Leuven,St Truiden,1,2,10,1,3,11,1,1
2025-11-23,First Division A,2025-26,Genk,Mechelen,0,1,6,3,1,9,0,0
2025-11-23,First Division A,2025-26,Antwerp,Dender,1,2,5,3,3,8,1,1
2025-11-28,First Division A,2025-26,Mechelen,Standard,0,1,4,4,1,8,0,0
2025-11-29,First Division A,2025-26,Dender,Westerlo,2,2,2,4,4,6,1,1
2025-11-29,First Division A,2025-26,Waregem,Cercle Brugge,1,1,6,7,2,13,1,0
2025-11-29,First Division A,2025-26,Charleroi,RAAL La Louviere,0,0,6,5,0,11,0,0
2025-11-30,First Division A,2025-26,Club Brugge,Antwerp,0,1,9,4,1,13,0,0
2025-11-30,First Division A,2025-26,Genk,Oud-Heverlee Leuven,2,1,10,2,3,12,1,1
2025-11-30,First Division A,2025-26,Anderlecht,St. Gilloise,1,0,4,2,1,6,0,0
2025-11-30,First Division A,2025-26,Gent,St Truiden,1,2,5,6,3,11,1,1
2025-12-05,First Division A,2025-26,RAAL La Louviere,Dender,1,2,5,2,3,7,1,1
2025-12-06,First Division A,2025-26,Cercle Brugge,Standard,1,2,9,5,3,14,1,1
2025-12-06,First Division A,2025-26,St. Gilloise,Gent,1,1,8,0,2,8,1,0
2025-12-06,First Division A,2025-26,St Truiden,Club Brugge,3,2,8,6,5,14,1,1
