fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2020-09-12,Premier League,2020-21,Fulham,Arsenal,0,3,2,3,3,5,0,1
2020-09-12,Premier League,2020-21,Crystal Palace,Southampton,1,0,7,3,1,10,0,0
2020-09-12,Premier League,2020-21,Liverpool,Leeds,4,3,9,0,7,9,1,1
2020-09-12,Premier League,2020-21,West Ham,Newcastle,0,2,8,7,2,15,0,0
2020-09-13,Premier League,2020-21,West Brom,Leicester,0,3,2,5,3,7,0,1
2020-09-13,Premier League,2020-21,Tottenham,Everton,0,1,5,3,1,8,0,0
2020-09-14,Premier League,2020-21,Brighton,Chelsea,1,3,4,3,4,7,1,1
2020-09-14,Premier League,2020-21,Sheffield United,Wolves,0,2,12,5,2,17,0,0
2020-09-19,Premier League,2020-21,Man United,Crystal Palace,1,3,9,3,4,12,1,1
2020-09-19,Premier League,2020-21,Arsenal,West Ham,2,1,7,5,3,12,1,1
2020-09-19,Premier League,2020-21,Everton,West Brom,5,2,11,1,7,12,1,1
2020-09-19,Premier League,2020-21,Leeds,Fulham,4,3,5,3,7,8,1,1
2020-09-20,Premier League,2020-21,Southampton,Tottenham,2,5,3,2,7,5,1,1
2020-09-20,Premier League,2020-21,Newcastle,Brighton,0,3,7,1,3,8,0,1
2020-09-20,Premier League,2020-21,Chelsea,Liverpool,0,2,1,11,2,12,0,0
2020-09-20,Premier League,2020-21,Leicester,Burnley,4,2,15,4,6,19,1,1
2020-09-21,Premier League,2020-21,Aston Villa,Sheffield United,1,0,10,4,1,14,0,0
2020-09-21,Premier League,2020-21,Wolves,Man City,1,3,4,6,4,10,1,1
2020-09-26,Premier League,2020-21,Brighton,Man United,2,3,7,1,5,8,1,1
2020-09-26,Premier League,2020-21,Crystal Palace,Everton,1,2,7,6,3,13,1,1
2020-09-26,Premier League,2020-21,West Brom,Chelsea,3,3,3,9,6,12,1,1
