fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2025-08-01,Bundesliga 2,2025-26,Schalke 04,Hertha,2,1,5,10,7,1,1,0,3,15,8,1,1,1,2.9,3.5,2.3,2.95,3.5,2.45
2025-08-02,Bundesliga 2,2025-26,Darmstadt,Bochum,4,1,5,8,2,3,0,0,5,13,5,0,1,1,2.2,3.6,3.0,2.27,3.61,3.11
2025-08-02,Bundesliga 2,2025-26,Elversberg,Nurnberg,1,0,2,4,2,3,0,0,1,6,5,0,0,0,2.1,3.8,3.1,2.17,3.77,3.2
2025-08-02,Bundesliga 2,2025-26,Karlsruhe,PreuÃen MÃ¼nster,3,2,6,5,3,3,0,1,5,11,6,1,1,1,1.9,3.7,3.7,1.93,4.16,3.57
2025-08-02,Bundesliga 2,2025-26,Paderborn,Holstein Kiel,2,1,3,0,1,3,0,0,3,3,4,0,1,1,2.15,3.8,3.0,2.2,3.77,3.14
2025-08-02,Bundesliga 2,2025-26,Bielefeld,Fortuna Dusseldorf,5,1,8,3,4,4,0,1,6,11,8,1,1,1,2.3,3.6,2.88,2.33,3.67,2.88
2025-08-03,Bundesliga 2,2025-26,Greuther Furth,Dresden,3,2,4,10,1,0,0,0,5,14,1,0,1,1,2.2,3.7,2.9,2.27,3.49,3.11
2025-08-03,Bundesliga 2,2025-26,Hannover,Kaiserslautern,1,0,5,5,2,3,0,0,1,10,5,0,0,0,1.91,3.9,3.5,1.95,3.76,3.67
2025-08-03,Bundesliga 2,2025-26,Magdeburg,Braunschweig,0,1,12,2,4,1,0,1,1,14,5,1,0,0,1.8,3.8,4.0,1.85,3.57,4.34
2025-08-08,Bundesliga 2,2025-26,Nurnberg,Darmstadt,0,1,4,5,2,2,0,0,1,9,4,0,0,0,2.88,3.7,2.25,2.87,3.45,2.14
2025-08-08,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Paderborn,1,1,5,5,0,0,0,0,2,10,0,0,1,0,3.3,3.2,2.25,3.33,3.16,2.32
2025-08-09,Bundesliga 2,2025-26,Kaiserslautern,Schalke 04,1,0,5,3,4,4,0,0,1,8,8,0,0,0,2.38,3.5,2.8,2.27,3.45,2.68
2025-08-09,Bundesliga 2,2025-26,Fortuna Dusseldorf,Hannover,0,2,5,2,6,4,0,0,2,7,10,0,0,0,2.5,3.6,2.6,2.55,3.72,2.58
2025-08-09,Bundesliga 2,2025-26,Braunschweig,Greuther Furth,3,2,3,9,2,3,0,0,5,12,5,0,1,1,2.35,3.3,3.0,2.37,3.35,3.06
2025-08-09,Bundesliga 2,2025-26,Dresden,Magdeburg,1,2,6,5,1,3,0,0,3,11,4,0,1,1,2.45,3.6,2.63,2.53,3.63,2.65
2025-08-10,Bundesliga 2,2025-26,Bochum,Elversberg,2,0,10,0,8,5,0,1,2,10,13,1,0,0,1.95,3.8,3.5,1.94,3.83,3.64
2025-08-10,Bundesliga 2,2025-26,Hertha,Karlsruhe,0,0,5,10,0,1,0,0,0,15,1,0,0,0,1.8,3.8,4.1,1.79,3.86,4.27
2025-08-10,Bundesliga 2,2025-26,Holstein Kiel,Bielefeld,0,2,9,7,0,6,0,1,2,16,6,1,0,0,2.15,3.6,3.1,2.21,3.71,3.06
2025-08-22,Bundesliga 2,2025-26,Elversberg,Kaiserslautern,2,1,4,8,3,2,0,0,3,12,5,0,1,1,1.95,3.6,3.6,2.05,3.72,3.61
2025-08-22,Bundesliga 2,2025-26,PreuÃen MÃ¼nster,Nurnberg,2,1,1,7,3,6,0,0,3,8,9,0,1,1,2.35,3.4,2.9,2.4,3.49,3.03
2025-08-23,Bundesliga 2,2025-26,Hannover,Magdeburg,3,1,4,2,3,4,0,0,4,6,7,0,1,1,1.95,3.6,3.75,1.97,3.55,3.85
2025-08-23,Bundesliga 2,2025-26,Karlsruhe,Braunschweig,2,0,5,2,3,4,0,1,2,7,7,1,0,0,1.85,3.8,3.9,1.84,3.85,4.06
2025-08-23,Bundesliga 2,2025-26,Paderborn,Fortuna Dusseldorf,1,2,9,7,2,2,1,0,3,16,4,1,1,1,1.8,3.8,4.1,1.82,3.82,4.17
2025-08-23,Bundesliga 2,2025-26,Schalke 04,Bochum,2,1,8,9,0,3,0,0,3,17,3,0,1,1,2.4,3.6,2.75,2.4,3.59,2.83
2025-08-24,Bundesliga 2,2025-26,Darmstadt,Hertha,0,0,7,2,1,1,0,0,0,9,2,0,0,0,2.1,3.3,3.6,2.14,3.39,3.5
2025-08-24,Bundesliga 2,2025-26,Bielefeld,Dresden,1,2,4,5,3,3,1,0,3,9,6,1,1,1,1.9,3.3,4.2,1.94,3.3,4.29
2025-08-24,Bundesliga 2,2025-26,Greuther Furth,Holstein Kiel,0,2,6,3,3,8,0,0,2,9,11,0,0,0,2.7,3.4,2.5,2.73,3.4,2.58
2025-08-29,Bundesliga 2,2025-26,Nurnberg,Paderborn,0,0,7,5,3,4,0,0,0,12,7,0,0,0,3.0,3.75,2.15,3.11,3.72,2.26
2025-08-29,Bundesliga 2,2025-26,Hertha,Elversberg,0,2,4,4,6,2,1,0,2,8,8,1,0,0,2.2,3.4,3.2,2.26,3.45,3.32
2025-08-30,Bundesliga 2,2025-26,Bochum,PreuÃen MÃ¼nster,1,2,6,4,3,3,0,0,3,10,6,0,1,1,2.0,3.6,3.5,2.0,3.58,3.7
2025-08-30,Bundesliga 2,2025-26,Braunschweig,Bielefeld,1,1,3,7,3,3,0,0,2,10,6,0,1,0,2.8,3.6,2.3,3.04,3.54,2.34
2025-08-30,Bundesliga 2,2025-26,Holstein Kiel,Hannover,1,2,1,5,2,3,0,0,3,6,5,0,1,1,2.55,3.7,2.45,2.71,3.57,2.58
2025-08-30,Bundesliga 2,2025-26,Fortuna Dusseldorf,Karlsruhe,0,0,4,2,1,3,0,0,0,6,4,0,0,0,2.25,3.7,2.88,2.27,3.79,2.9
2025-08-31,Bundesliga 2,2025-26,Dresden,Schalke 04,0,1,1,6,1,4,0,0,1,7,5,0,0,0,2.38,3.5,2.8,2.41,3.59,2.81
2025-08-31,Bundesliga 2,2025-26,Kaiserslautern,Darmstadt,3,1,3,5,2,2,0,0,4,8,4,0,1,1,2.6,3.3,2.63,2.55,3.51,2.7
2025-08-31,Bundesliga 2,2025-26,Magdeburg,Greuther Furth,4,5,2,3,5,4,1,0,9,5,9,1,1,1,1.83,3.8,3.9,1.85,3.9,3.92
2025-09-12,Bundesliga 2,2025-26,Bielefeld,Magdeburg,2,0,5,5,1,2,0,0,2,10,3,0,0,0,2.1,3.7,3.1,2.19,3.71,3.25
2025-09-12,Bundesliga 2,2025-26,Paderborn,Bochum,1,0,3,7,1,4,0,0,1,10,5,0,0,0,1.85,3.7,3.9,1.88,3.86,4.1
