fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2023-09-17,Bundesliga,2023-24,Darmstadt,M'gladbach,3,3,6,6,1,1,1,0,6,12,2,1,1,1,2.9,3.5,2.38,3.01,3.74,2.34
2023-09-22,Bundesliga,2023-24,Stuttgart,Darmstadt,3,1,5,4,1,6,0,0,4,9,7,0,1,1,1.36,4.5,8.0,1.4,5.24,8.18
2023-09-23,Bundesliga,2023-24,Union Berlin,Hoffenheim,0,2,11,6,1,3,0,0,2,17,4,0,0,0,2.05,3.6,3.4,2.15,3.72,3.39
2023-09-23,Bundesliga,2023-24,Werder Bremen,FC Koln,2,1,9,8,2,1,0,0,3,17,3,0,1,1,2.5,3.6,2.6,2.56,3.69,2.74
2023-09-23,Bundesliga,2023-24,M'gladbach,RB Leipzig,0,1,11,6,1,1,0,0,1,17,2,0,0,0,4.75,4.75,1.57,5.26,4.74,1.59
2023-09-23,Bundesliga,2023-24,Augsburg,Mainz,2,1,3,4,2,3,1,0,3,7,5,1,1,1,2.55,3.5,2.63,2.61,3.7,2.68
2023-09-23,Bundesliga,2023-24,Bayern Munich,Bochum,7,0,8,1,0,1,0,0,7,9,1,0,0,1,1.11,10.0,19.0,1.1,12.85,20.11
2023-09-23,Bundesliga,2023-24,Dortmund,Wolfsburg,1,0,5,3,0,1,0,0,1,8,1,0,0,0,1.65,4.0,4.75,1.71,4.47,4.48
2023-09-24,Bundesliga,2023-24,Leverkusen,Heidenheim,4,1,7,2,1,1,0,0,5,9,2,0,1,1,1.22,6.5,12.0,1.23,7.35,11.42
2023-09-24,Bundesliga,2023-24,Ein Frankfurt,Freiburg,0,0,7,3,4,2,0,0,0,10,6,0,0,0,2.05,3.6,3.4,2.16,3.66,3.42
2023-09-29,Bundesliga,2023-24,Hoffenheim,Dortmund,1,3,4,3,3,4,0,1,4,7,7,1,1,1,3.1,4.0,2.05,3.15,4.16,2.12
2023-09-30,Bundesliga,2023-24,Bochum,M'gladbach,1,3,5,10,2,3,0,0,4,15,5,0,1,1,2.3,3.75,2.9,2.32,3.88,2.96
2023-09-30,Bundesliga,2023-24,FC Koln,Stuttgart,0,2,8,4,2,1,0,0,2,12,3,0,0,0,2.88,3.5,2.38,2.89,3.64,2.46
2023-09-30,Bundesliga,2023-24,Heidenheim,Union Berlin,1,0,5,7,1,2,0,0,1,12,3,0,0,0,3.0,3.6,2.25,3.05,3.72,2.32
2023-09-30,Bundesliga,2023-24,Mainz,Leverkusen,0,3,3,1,4,1,0,0,3,4,5,0,0,1,5.75,4.5,1.53,5.85,4.72,1.54
2023-09-30,Bundesliga,2023-24,Wolfsburg,Ein Frankfurt,2,0,7,4,1,6,0,1,2,11,7,1,0,0,2.05,3.5,3.5,2.11,3.53,3.68
2023-09-30,Bundesliga,2023-24,RB Leipzig,Bayern Munich,2,2,5,1,2,5,0,0,4,6,7,0,1,1,3.4,4.2,1.91,3.73,4.2,1.91
2023-10-01,Bundesliga,2023-24,Darmstadt,Werder Bremen,4,2,2,4,3,2,0,0,6,6,5,0,1,1,2.8,3.8,2.3,2.82,3.74,2.47
2023-10-01,Bundesliga,2023-24,Freiburg,Augsburg,2,0,2,3,2,2,0,0,2,5,4,0,0,0,1.73,4.0,4.75,1.73,4.19,4.68
2023-10-06,Bundesliga,2023-24,M'gladbach,Mainz,2,2,10,3,3,1,0,0,4,13,4,0,1,1,2.05,3.75,3.4,2.08,3.93,3.48
2023-10-07,Bundesliga,2023-24,Werder Bremen,Hoffenheim,2,3,4,4,5,4,0,0,5,8,9,0,1,1,2.75,3.75,2.4,2.75,3.92,2.44
2023-10-07,Bundesliga,2023-24,Stuttgart,Wolfsburg,3,1,5,6,1,3,0,0,4,11,4,0,1,1,2.0,3.5,3.75,2.01,3.8,3.73
2023-10-07,Bundesliga,2023-24,RB Leipzig,Bochum,0,0,9,1,2,4,0,0,0,10,6,0,0,0,1.25,6.0,11.0,1.25,6.87,10.85
2023-10-07,Bundesliga,2023-24,Augsburg,Darmstadt,1,2,4,4,4,2,0,0,3,8,6,0,1,1,1.85,3.75,4.0,1.92,3.9,3.98
2023-10-07,Bundesliga,2023-24,Dortmund,Union Berlin,4,2,4,6,1,1,0,0,6,10,2,0,1,1,1.57,4.33,5.25,1.61,4.51,5.28
2023-10-08,Bundesliga,2023-24,Leverkusen,FC Koln,3,0,11,4,3,0,0,0,3,15,3,0,0,1,1.33,5.5,8.0,1.34,5.68,9.07
2023-10-08,Bundesliga,2023-24,Bayern Munich,Freiburg,3,0,7,1,1,0,0,0,3,8,1,0,0,1,1.14,8.5,17.0,1.16,9.23,14.64
2023-10-08,Bundesliga,2023-24,Ein Frankfurt,Heidenheim,2,0,3,6,2,3,0,0,2,9,5,0,0,0,1.7,4.0,4.75,1.74,4.12,4.7
2023-10-20,Bundesliga,2023-24,Dortmund,Werder Bremen,1,0,10,4,1,5,0,0,1,14,6,0,0,0,1.29,6.5,8.0,1.3,6.69,8.63
2023-10-21,Bundesliga,2023-24,Mainz,Bayern Munich,1,3,2,7,3,2,0,0,4,9,5,0,1,1,9.0,6.0,1.29,9.99,6.69,1.27
2023-10-21,Bundesliga,2023-24,Wolfsburg,Leverkusen,1,2,4,3,3,5,0,0,3,7,8,0,1,1,4.33,4.0,1.75,4.52,4.2,1.75
2023-10-21,Bundesliga,2023-24,Union Berlin,Stuttgart,0,3,4,2,2,1,0,0,3,6,3,0,0,1,2.5,3.5,2.7,2.56,3.58,2.79
2023-10-21,Bundesliga,2023-24,Hoffenheim,Ein Frankfurt,1,3,6,3,3,0,0,0,4,9,3,0,1,1,2.1,3.5,3.4,2.15,3.72,3.4
2023-10-21,Bundesliga,2023-24,Darmstadt,RB Leipzig,1,3,6,0,6,3,0,0,4,6,9,0,1,1,6.5,4.75,1.44,6.38,5.09,1.47
2023-10-21,Bundesliga,2023-24,Freiburg,Bochum,2,1,5,2,3,4,0,0,3,7,7,0,1,1,1.7,3.75,5.0,1.76,4.02,4.73
