fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2021-10-01,Primeira Liga,2021-22,Famalicao,Guimaraes,1,2,8,0,3,8,1,1
2021-10-02,Primeira Liga,2021-22,Vizela,Santa Clara,1,1,6,4,2,10,1,0
2021-10-02,Primeira Liga,2021-22,Porto,Pacos Ferreira,2,1,11,3,3,14,1,1
2021-10-02,Primeira Liga,2021-22,Arouca,Sp Lisbon,1,2,4,5,3,9,1,1
2021-10-03,Primeira Liga,2021-22,Belenenses,Tondela,0,2,1,4,2,5,0,0
2021-10-03,Primeira Liga,2021-22,Benfica,Portimonense,0,1,13,4,1,17,0,0
2021-10-03,Primeira Liga,2021-22,Estoril,Gil Vicente,2,2,1,5,4,6,1,1
2021-10-03,Primeira Liga,2021-22,Sp Braga,Boavista,2,2,3,1,4,4,1,1
2021-10-22,Primeira Liga,2021-22,Guimaraes,Maritimo,2,1,14,2,3,16,1,1
2021-10-23,Primeira Liga,2021-22,Tondela,Porto,1,3,3,10,4,13,1,1
2021-10-23,Primeira Liga,2021-22,Sp Lisbon,Moreirense,1,0,7,1,1,8,0,0
2021-10-23,Primeira Liga,2021-22,Santa Clara,Famalicao,0,2,1,5,2,6,0,0
2021-10-24,Primeira Liga,2021-22,Pacos Ferreira,Arouca,0,0,3,9,0,12,0,0
2021-10-24,Primeira Liga,2021-22,Vizela,Benfica,0,1,7,12,1,19,0,0
2021-10-24,Primeira Liga,2021-22,Portimonense,Estoril,0,2,6,1,2,7,0,0
2021-10-25,Primeira Liga,2021-22,Gil Vicente,Sp Braga,0,1,11,2,1,13,0,0
2021-10-25,Primeira Liga,2021-22,Boavista,Belenenses,0,0,5,1,0,6,0,0
2021-10-29,Primeira Liga,2021-22,Arouca,Tondela,2,0,4,6,2,10,0,0
2021-10-30,Primeira Liga,2021-22,Sp Lisbon,Guimaraes,1,0,7,2,1,9,0,0
2021-10-30,Primeira Liga,2021-22,Estoril,Benfica,1,1,4,10,2,14,1,0
2021-10-30,Primeira Liga,2021-22,Porto,Boavista,4,1,4,6,5,10,1,1
2021-10-31,Primeira Liga,2021-22,Maritimo,Gil Vicente,1,2,4,5,3,9,1,1
2021-10-31,Primeira Liga,2021-22,Belenenses,Santa Clara,2,1,8,7,3,15,1,1
2021-10-31,Primeira Liga,2021-22,Famalicao,Vizela,1,1,5,2,2,7,1,0
2021-11-01,Primeira Liga,2021-22,Sp Braga,Portimonense,3,0,3,5,3,8,0,1
2021-11-01,Primeira Liga,2021-22,Moreirense,Pacos Ferreira,1,1,4,7,2,11,1,0
2021-11-05,Primeira Liga,2021-22,Gil Vicente,Arouca,1,1,8,1,2,9,1,0
2021-11-05,Primeira Liga,2021-22,Boavista,Famalicao,2,5,6,2,7,8,1,1
2021-11-06,Primeira Liga,2021-22,Guimaraes,Moreirense,2,1,5,9,3,14,1,1
2021-11-06,Primeira Liga,2021-22,Portimonense,Belenenses,2,0,6,5,2,11,0,0
2021-11-06,Primeira Liga,2021-22,Vizela,Estoril,1,1,3,1,2,4,1,0
2021-11-07,Primeira Liga,2021-22,Tondela,Maritimo,4,2,3,4,6,7,1,1
2021-11-07,Primeira Liga,2021-22,Santa Clara,Porto,0,3,1,8,3,9,0,1
2021-11-07,Primeira Liga,2021-22,Pacos Ferreira,Sp Lisbon,0,2,4,10,2,14,0,0
2021-11-07,Primeira Liga,2021-22,Benfica,Sp Braga,6,1,2,6,7,8,1,1
2021-11-26,Primeira Liga,2021-22,Moreirense,Gil Vicente,2,2,5,5,4,10,1,1
2021-11-27,Primeira Liga,2021-22,Famalicao,Portimonense,0,3,8,3,3,11,0,1
2021-11-27,Primeira Liga,2021-22,Arouca,Boavista,2,1,2,1,3,3,1,1
2021-11-27,Primeira Liga,2021-22,Belenenses,Benfica,0,7,2,4,7,6,0,1
2021-11-28,Primeira Liga,2021-22,Porto,Guimaraes,2,1,5,2,3,7,1,1
2021-11-28,Primeira Liga,2021-22,Maritimo,Pacos Ferreira,2,0,2,8,2,10,0,0
2021-11-28,Primeira Liga,2021-22,Sp Lisbon,Tondela,2,0,1,4,2,5,0,0
2021-11-29,Primeira Liga,2021-22,Estoril,Santa Clara,2,2,4,3,4,7,1,1
2021-11-30,Primeira Liga,2021-22,Sp Braga,Vizela,4,1,10,1,5,11,1,1
2021-12-03,Primeira Liga,2021-22,Portimonense,Porto,0,3,3,6,3,9,0,1
2021-12-03,Primeira Liga,2021-22,Benfica,Sp Lisbon,1,3,3,3,4,6,1,1
2021-12-04,Primeira Liga,2021-22,Boavista,Maritimo,1,1,2,6,2,8,1,0
2021-12-04,Primeira Liga,2021-22,Pacos Ferreira,Guimaraes,1,2,4,6,3,10,1,1
2021-12-05,Primeira Liga,2021-22,Sp Braga,Estoril,2,0,2,7,2,9,0,0
2021-12-05,Primeira Liga,2021-22,Gil Vicente,Famalicao,4,0,4,1,4,5,0,1
2021-12-05,Primeira Liga,2021-22,Santa Clara,Arouca,2,1,1,8,3,9,1,1
2021-12-10,Primeira Liga,2021-22,Pacos Ferreira,Gil Vicente,0,1,7,5,1,12,0,0
2021-12-11,Primeira Liga,2021-22,Maritimo,Santa Clara,4,1,4,2,5,6,1,1
2021-12-11,Primeira Liga,2021-22,Guimaraes,Tondela,5,2,0,8,7,8,1,1
2021-12-11,Primeira Liga,2021-22,Sp Lisbon,Boavista,2,0,10,3,2,13,0,0
2021-12-12,Primeira Liga,2021-22,Famalicao,Benfica,1,4,5,2,5,7,1,1
2021-12-12,Primeira Liga,2021-22,Porto,Sp Braga,1,0,6,3,1,9,0,0
2021-12-12,Primeira Liga,2021-22,Belenenses,Estoril,0,1,0,14,1,14,0,0
2021-12-12,Primeira Liga,2021-22,Moreirense,Portimonense,0,1,6,1,1,7,0,0
2021-12-13,Primeira Liga,2021-22,Arouca,Vizela,1,4,6,4,5,10,1,1
2021-12-17,Primeira Liga,2021-22,Santa Clara,Guimaraes,1,0,8,2,1,10,0,0
2021-12-17,Primeira Liga,2021-22,Estoril,Famalicao,2,2,7,2,4,9,1,1
2021-12-18,Primeira Liga,2021-22,Portimonense,Arouca,1,1,5,6,2,11,1,0
2021-12-18,Primeira Liga,2021-22,Tondela,Pacos Ferreira,0,1,7,6,1,13,0,0
2021-12-18,Primeira Liga,2021-22,Gil Vicente,Sp Lisbon,0,3,1,5,3,6,0,1
2021-12-19,Primeira Liga,2021-22,Sp Braga,Belenenses,1,0,6,3,1,9,0,0
2021-12-19,Primeira Liga,2021-22,Boavista,Moreirense,1,0,5,7,1,12,0,0
2021-12-19,Primeira Liga,2021-22,Benfica,Maritimo,7,1,1,3,8,4,1,1
2021-12-19,Primeira Liga,2021-22,Vizela,Porto,0,4,3,11,4,14,0,1
2021-12-28,Primeira Liga,2021-22,Tondela,Gil Vicente,0,3,6,2,3,8,0,1
2021-12-28,Primeira Liga,2021-22,Maritimo,Vizela,2,0,2,4,2,6,0,0
2021-12-28,Primeira Liga,2021-22,Moreirense,Estoril,1,0,7,11,1,18,0,0
2021-12-29,Primeira Liga,2021-22,Guimaraes,Boavista,1,1,11,4,2,15,1,0
2021-12-29,Primeira Liga,2021-22,Sp Lisbon,Portimonense,3,2,5,0,5,5,1,1
2021-12-30,Primeira Liga,2021-22,Pacos Ferreira,Santa Clara,2,1,2,4,3,6,1,1
2021-12-30,Primeira Liga,2021-22,Arouca,Sp Braga,0,6,1,1,6,2,0,1
2021-12-30,Primeira Liga,2021-22,Porto,Benfica,3,1,5,7,4,12,1,1
2022-01-02,Primeira Liga,2021-22,Vizela,Belenenses,2,0,4,10,2,14,0,0
2022-01-03,Primeira Liga,2021-22,Tondela,Moreirense,2,1,1,3,3,4,1,1
