fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2017-08-05,Scottish Premiership,2017-18,Celtic,Hearts,4,1,9,5,5,14,1,1
2017-08-05,Scottish Premiership,2017-18,Dundee,Ross County,1,2,15,5,3,20,1,1
2017-08-05,Scottish Premiership,2017-18,Hibernian,Partick,3,1,3,4,4,7,1,1
2017-08-05,Scottish Premiership,2017-18,Kilmarnock,St Johnstone,1,2,1,10,3,11,1,1
2017-08-06,Scottish Premiership,2017-18,Aberdeen,Hamilton,2,0,3,2,2,5,0,0
2017-08-06,Scottish Premiership,2017-18,Motherwell,Rangers,1,2,7,5,3,12,1,1
2017-08-11,Scottish Premiership,2017-18,Partick,Celtic,0,1,3,11,1,14,0,0
2017-08-12,Scottish Premiership,2017-18,Hamilton,Dundee,3,0,5,7,3,12,0,1
2017-08-12,Scottish Premiership,2017-18,Kilmarnock,Hearts,0,1,4,5,1,9,0,0
2017-08-12,Scottish Premiership,2017-18,Rangers,Hibernian,2,3,6,5,5,11,1,1
2017-08-12,Scottish Premiership,2017-18,Ross County,Aberdeen,1,2,2,6,3,8,1,1
2017-08-12,Scottish Premiership,2017-18,St Johnstone,Motherwell,4,1,7,6,5,13,1,1
2017-08-19,Scottish Premiership,2017-18,St Johnstone,Partick,1,0,3,2,1,5,0,0
2017-08-19,Scottish Premiership,2017-18,Rangers,Hearts,0,0,13,2,0,15,0,0
2017-08-19,Scottish Premiership,2017-18,Motherwell,Ross County,2,0,1,3,2,4,0,0
2017-08-19,Scottish Premiership,2017-18,Hibernian,Hamilton,1,3,9,7,4,16,1,1
2017-08-19,Scottish Premiership,2017-18,Aberdeen,Dundee,2,1,4,6,3,10,1,1
2017-08-19,Scottish Premiership,2017-18,Kilmarnock,Celtic,0,2,5,5,2,10,0,0
2017-08-26,Scottish Premiership,2017-18,Celtic,St Johnstone,1,1,12,1,2,13,1,0
2017-08-26,Scottish Premiership,2017-18,Kilmarnock,Hamilton,2,2,1,4,4,5,1,1
2017-08-26,Scottish Premiership,2017-18,Motherwell,Hearts,2,1,5,3,3,8,1,1
2017-08-26,Scottish Premiership,2017-18,Partick,Aberdeen,3,4,5,9,7,14,1,1
2017-08-27,Scottish Premiership,2017-18,Dundee,Hibernian,1,1,1,15,2,16,1,0
2017-08-27,Scottish Premiership,2017-18,Ross County,Rangers,1,3,5,6,4,11,1,1
2017-09-08,Scottish Premiership,2017-18,Hamilton,Celtic,1,4,3,15,5,18,1,1
2017-09-09,Scottish Premiership,2017-18,St Johnstone,Hibernian,1,1,2,13,2,15,1,0
2017-09-09,Scottish Premiership,2017-18,Rangers,Dundee,4,1,10,2,5,12,1,1
2017-09-09,Scottish Premiership,2017-18,Ross County,Partick,1,1,4,3,2,7,1,0
2017-09-09,Scottish Premiership,2017-18,Hearts,Aberdeen,0,0,10,2,0,12,0,0
2017-09-09,Scottish Premiership,2017-18,Motherwell,Kilmarnock,2,0,6,5,2,11,0,0
2017-09-15,Scottish Premiership,2017-18,Partick,Rangers,2,2,3,4,4,7,1,1
2017-09-16,Scottish Premiership,2017-18,Aberdeen,Kilmarnock,1,1,5,4,2,9,1,0
2017-09-16,Scottish Premiership,2017-18,Celtic,Ross County,4,0,7,3,4,10,0,1
2017-09-16,Scottish Premiership,2017-18,Dundee,St Johnstone,3,2,1,6,5,7,1,1
2017-09-16,Scottish Premiership,2017-18,Hamilton,Hearts,1,2,7,2,3,9,1,1
2017-09-16,Scottish Premiership,2017-18,Hibernian,Motherwell,2,2,2,5,4,7,1,1
2017-09-23,Scottish Premiership,2017-18,Kilmarnock,Dundee,1,1,6,9,2,15,1,0
2017-09-23,Scottish Premiership,2017-18,Partick,Hearts,1,1,3,6,2,9,1,0
2017-09-23,Scottish Premiership,2017-18,Rangers,Celtic,0,2,2,11,2,13,0,0
2017-09-23,Scottish Premiership,2017-18,Ross County,Hibernian,0,1,6,8,1,14,0,0
2017-09-23,Scottish Premiership,2017-18,St Johnstone,Hamilton,2,1,5,7,3,12,1,1
2017-09-24,Scottish Premiership,2017-18,Motherwell,Aberdeen,0,1,8,4,1,12,0,0
2017-09-29,Scottish Premiership,2017-18,Hamilton,Rangers,1,4,7,3,5,10,1,1
2017-09-30,Scottish Premiership,2017-18,Aberdeen,St Johnstone,3,0,8,1,3,9,0,1
2017-09-30,Scottish Premiership,2017-18,Celtic,Hibernian,2,2,3,6,4,9,1,1
2017-09-30,Scottish Premiership,2017-18,Dundee,Hearts,2,1,6,10,3,16,1,1
2017-09-30,Scottish Premiership,2017-18,Kilmarnock,Ross County,0,2,3,10,2,13,0,0
2017-09-30,Scottish Premiership,2017-18,Motherwell,Partick,3,0,10,3,3,13,0,1
2017-10-13,Scottish Premiership,2017-18,St Johnstone,Rangers,0,3,16,2,3,18,0,1
2017-10-14,Scottish Premiership,2017-18,Celtic,Dundee,1,0,5,4,1,9,0,0
2017-10-14,Scottish Premiership,2017-18,Hamilton,Motherwell,1,2,6,10,3,16,1,1
2017-10-14,Scottish Premiership,2017-18,Hibernian,Aberdeen,0,1,7,0,1,7,0,0
2017-10-14,Scottish Premiership,2017-18,Partick,Kilmarnock,0,2,6,2,2,8,0,0
2017-10-14,Scottish Premiership,2017-18,Ross County,Hearts,1,2,4,6,3,10,1,1
2017-10-21,Scottish Premiership,2017-18,Partick,Dundee,2,1,8,1,3,9,1,1
2017-10-21,Scottish Premiership,2017-18,Ross County,Hamilton,2,1,8,8,3,16,1,1
2017-10-21,Scottish Premiership,2017-18,Hearts,St Johnstone,1,0,4,3,1,7,0,0
2017-10-24,Scottish Premiership,2017-18,St Johnstone,Ross County,0,0,7,6,0,13,0,0
2017-10-24,Scottish Premiership,2017-18,Hamilton,Partick,0,0,3,8,0,11,0,0
2017-10-24,Scottish Premiership,2017-18,Hibernian,Hearts,1,0,11,3,1,14,0,0
2017-10-25,Scottish Premiership,2017-18,Aberdeen,Celtic,0,3,3,4,3,7,0,1
2017-10-25,Scottish Premiership,2017-18,Dundee,Motherwell,0,1,3,4,1,7,0,0
2017-10-25,Scottish Premiership,2017-18,Rangers,Kilmarnock,1,1,11,4,2,15,1,0
2017-10-28,Scottish Premiership,2017-18,Aberdeen,Ross County,2,1,3,5,3,8,1,1
2017-10-28,Scottish Premiership,2017-18,Celtic,Kilmarnock,1,1,9,1,2,10,1,0
2017-10-28,Scottish Premiership,2017-18,Dundee,Hamilton,1,3,6,5,4,11,1,1
2017-10-28,Scottish Premiership,2017-18,Hearts,Rangers,1,3,3,7,4,10,1,1
2017-10-28,Scottish Premiership,2017-18,Motherwell,Hibernian,0,1,4,8,1,12,0,0
2017-10-28,Scottish Premiership,2017-18,Partick,St Johnstone,1,0,5,4,1,9,0,0
2017-10-31,Scottish Premiership,2017-18,Kilmarnock,Hibernian,0,3,7,5,3,12,0,1
2017-11-04,Scottish Premiership,2017-18,St Johnstone,Celtic,0,4,4,3,4,7,0,1
2017-11-04,Scottish Premiership,2017-18,Ross County,Motherwell,3,2,0,5,5,5,1,1
2017-11-04,Scottish Premiership,2017-18,Rangers,Partick,3,0,7,3,3,10,0,1
2017-11-04,Scottish Premiership,2017-18,Hibernian,Dundee,2,1,6,2,3,8,1,1
2017-11-04,Scottish Premiership,2017-18,Hamilton,Aberdeen,2,2,4,7,4,11,1,1
2017-11-05,Scottish Premiership,2017-18,Hearts,Kilmarnock,1,2,7,4,3,11,1,1
2017-11-18,Scottish Premiership,2017-18,Aberdeen,Motherwell,0,2,8,3,2,11,0,0
2017-11-18,Scottish Premiership,2017-18,Dundee,Kilmarnock,0,0,6,6,0,12,0,0
2017-11-18,Scottish Premiership,2017-18,Hibernian,St Johnstone,1,2,10,6,3,16,1,1
2017-11-18,Scottish Premiership,2017-18,Rangers,Hamilton,0,2,13,0,2,13,0,0
2017-11-18,Scottish Premiership,2017-18,Ross County,Celtic,0,1,1,11,1,12,0,0
2017-11-19,Scottish Premiership,2017-18,Hearts,Partick,1,1,3,3,2,6,1,0
2017-11-24,Scottish Premiership,2017-18,Dundee,Rangers,2,1,2,5,3,7,1,1
2017-11-25,Scottish Premiership,2017-18,Hamilton,Hibernian,1,1,0,11,2,11,1,0
2017-11-25,Scottish Premiership,2017-18,Hearts,Ross County,0,0,8,2,0,10,0,0
2017-11-26,Scottish Premiership,2017-18,Kilmarnock,Aberdeen,1,3,1,3,4,4,1,1
2017-11-29,Scottish Premiership,2017-18,Rangers,Aberdeen,3,0,6,2,3,8,0,1
2017-11-29,Scottish Premiership,2017-18,Motherwell,Celtic,1,1,4,7,2,11,1,0
2017-12-02,Scottish Premiership,2017-18,Celtic,Motherwell,5,1,9,0,6,9,1,1
2017-12-02,Scottish Premiership,2017-18,Hearts,Hamilton,1,1,5,7,2,12,1,0
2017-12-02,Scottish Premiership,2017-18,Partick,Hibernian,0,1,3,9,1,12,0,0
2017-12-02,Scottish Premiership,2017-18,Ross County,Dundee,0,2,5,7,2,12,0,0
