equipo,total_partidos,media_goles_anotados,media_goles_recibidos,media_corners,pct_over_2_5,pct_btts
Huesca,76,1.013,1.553,4.28,43.4,52.6
Empoli,266,1.011,1.549,4.61,47.0,50.8
Swansea,114,1.009,1.561,4.46,50.9,49.1
Monza,114,1.009,1.509,4.04,44.7,49.1
Hamburg,102,1.0,1.569,4.79,54.9,47.1
Metz,214,1.0,1.673,4.03,49.1,48.6
Getafe,342,0.997,1.152,4.08,37.1,40.4
Clermont,110,0.991,1.618,4.39,49.1,51.8
Salernitana,114,0.991,1.939,4.18,59.6,56.1
Ajaccio GFCO,38,0.974,1.526,4.03,42.1,52.6
Hull,38,0.974,2.105,4.71,55.3,50.0
Carpi,38,0.974,1.5,4.68,57.9,60.5
Pescara,38,0.974,2.132,4.82,60.5,55.3
Malaga,114,0.974,1.325,4.82,37.7,41.2
Alaves,304,0.97,1.375,3.98,42.1,46.1
Chievo,152,0.967,1.579,3.82,47.4,50.7
Spal,114,0.965,1.684,4.64,50.9,55.3
Benevento,76,0.961,2.092,4.39,53.9,50.0
Mallorca,190,0.953,1.363,4.16,39.5,44.7
Amiens,104,0.952,1.385,3.69,44.2,46.2
Cremonese,38,0.947,1.816,3.84,47.4,55.3
Lecce,152,0.947,1.599,4.55,46.1,51.3
Frosinone,114,0.947,1.877,4.76,53.5,47.4
Ipswich,38,0.947,2.158,3.82,57.9,60.5
Darmstadt,102,0.941,1.98,3.53,53.9,48.0
West Brom,152,0.941,1.52,4.39,45.4,48.7
Palermo,76,0.934,1.868,4.29,50.0,51.3
Troyes,152,0.934,1.816,4.47,50.0,53.9
Leganes,190,0.926,1.347,3.76,41.1,42.1
Brescia,38,0.921,2.079,4.21,63.2,55.3
Elche,114,0.912,1.526,4.36,46.5,50.9
Cardiff,38,0.895,1.816,4.42,50.0,39.5
Venezia,76,0.868,1.645,3.5,46.1,55.3
Caen,152,0.862,1.467,4.57,39.5,38.8
Bastia,76,0.855,1.303,3.88,38.2,39.5
Cadiz,152,0.836,1.428,4.24,34.2,42.1
Valladolid,190,0.826,1.6,4.38,44.2,47.4
Sheffield United,114,0.825,1.807,4.61,46.5,43.0
Greuther Furth,34,0.824,2.412,4.06,64.7,64.7
St Pauli,34,0.824,1.206,4.35,29.4,32.4
Bielefeld,68,0.779,1.544,3.9,39.7,41.2
Norwich,114,0.772,1.982,4.52,54.4,41.2
Nurnberg,34,0.765,2.0,4.44,41.2,47.1
Nancy,38,0.763,1.368,4.34,36.8,23.7
Middlesbrough,38,0.711,1.395,3.71,44.7,42.1
Huddersfield,76,0.658,1.763,4.3,40.8,36.8
Ajaccio,38,0.605,1.947,3.32,52.6,34.2
