fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2021-07-31,Scottish Premiership,2021-22,Rangers,Livingston,3,0,7,1,0,5,0,0,3,8,5,0,0,1,1.18,6.5,17.0,1.17,7.77,20.52
2021-07-31,Scottish Premiership,2021-22,Dundee,St Mirren,2,2,8,11,2,2,1,0,4,19,4,1,1,1,2.55,3.2,2.75,2.72,3.35,2.77
2021-07-31,Scottish Premiership,2021-22,Ross County,St Johnstone,0,0,0,4,4,1,0,0,0,4,5,0,0,0,3.8,3.3,2.0,4.06,3.4,2.05
2021-07-31,Scottish Premiership,2021-22,Hearts,Celtic,2,1,6,5,0,0,0,0,3,11,0,0,1,1,4.5,4.0,1.7,4.9,3.96,1.75
2021-08-01,Scottish Premiership,2021-22,Aberdeen,Dundee United,2,0,5,4,1,3,0,0,2,9,4,0,0,0,1.7,3.5,5.25,1.78,3.62,5.17
2021-08-01,Scottish Premiership,2021-22,Motherwell,Hibernian,2,3,2,4,5,3,0,0,5,6,8,0,1,1,3.3,3.4,2.15,3.54,3.54,2.16
2021-08-07,Scottish Premiership,2021-22,Dundee United,Rangers,1,0,5,8,4,1,0,0,1,13,5,0,0,0,12.0,6.5,1.18,13.55,6.29,1.24
2021-08-07,Scottish Premiership,2021-22,St Mirren,Hearts,1,2,4,0,1,2,1,0,3,4,3,1,1,1,2.9,3.2,2.37,2.93,3.41,2.51
2021-08-08,Scottish Premiership,2021-22,Celtic,Dundee,6,0,11,3,0,1,0,1,6,14,1,1,0,1,1.18,6.5,11.0,1.22,6.68,12.97
2021-08-08,Scottish Premiership,2021-22,Hibernian,Ross County,3,0,11,4,0,2,0,0,3,15,2,0,0,1,1.5,4.0,5.75,1.54,4.27,6.46
2021-08-08,Scottish Premiership,2021-22,Livingston,Aberdeen,1,2,6,2,5,0,0,0,3,8,5,0,1,1,2.7,3.0,2.6,2.92,3.15,2.68
