fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2025-08-15,La Liga,2025-26,Girona,Vallecano,1,3,2,4,0,1,1,0,4,6,1,1,1,1
2025-08-15,La Liga,2025-26,Villarreal,Oviedo,2,0,10,1,1,2,0,1,2,11,3,1,0,0
2025-08-16,La Liga,2025-26,Mallorca,Barcelona,0,3,3,6,4,1,2,0,3,9,5,2,0,1
2025-08-16,La Liga,2025-26,Alaves,Levante,2,1,10,1,0,1,0,0,3,11,1,0,1,1
2025-08-16,La Liga,2025-26,Valencia,Sociedad,1,1,8,7,1,2,0,0,2,15,3,0,1,0
2025-08-17,La Liga,2025-26,Celta,Getafe,0,2,9,3,3,2,0,0,2,12,5,0,0,0
2025-08-17,La Liga,2025-26,Ath Bilbao,Sevilla,3,2,10,1,0,2,0,0,5,11,2,0,1,1
2025-08-17,La Liga,2025-26,Espanol,Ath Madrid,2,1,1,3,3,3,0,0,3,4,6,0,1,1
2025-08-18,La Liga,2025-26,Elche,Betis,1,1,1,3,0,1,0,0,2,4,1,0,1,0
2025-08-19,La Liga,2025-26,Real Madrid,Osasuna,1,0,7,0,1,0,0,1,1,7,1,1,0,0
2025-08-22,La Liga,2025-26,Betis,Alaves,1,0,5,2,2,3,0,0,1,7,5,0,0,0
2025-08-23,La Liga,2025-26,Mallorca,Celta,1,1,3,4,3,3,0,0,2,7,6,0,1,0
2025-08-23,La Liga,2025-26,Ath Madrid,Elche,1,1,10,2,0,3,0,0,2,12,3,0,1,0
2025-08-23,La Liga,2025-26,Levante,Barcelona,2,3,0,11,3,1,0,0,5,11,4,0,1,1
2025-08-24,La Liga,2025-26,Osasuna,Valencia,1,0,3,4,2,1,0,1,1,7,3,1,0,0
2025-08-24,La Liga,2025-26,Sociedad,Espanol,2,2,5,2,2,2,0,0,4,7,4,0,1,1
2025-08-24,La Liga,2025-26,Villarreal,Girona,5,0,8,1,1,2,0,0,5,9,3,0,0,1
2025-08-24,La Liga,2025-26,Oviedo,Real Madrid,0,3,1,9,2,1,0,0,3,10,3,0,0,1
2025-08-25,La Liga,2025-26,Sevilla,Getafe,1,2,5,3,2,2,0,0,3,8,4,0,1,1
2025-08-25,La Liga,2025-26,Ath Bilbao,Vallecano,1,0,3,6,0,4,0,0,1,9,4,0,0,0
2025-08-27,La Liga,2025-26,Celta,Betis,1,1,10,4,1,2,0,0,2,14,3,0,1,0
2025-08-29,La Liga,2025-26,Elche,Levante,2,0,4,2,1,2,0,0,2,6,3,0,0,0
2025-08-29,La Liga,2025-26,Valencia,Getafe,3,0,8,6,2,0,0,0,3,14,2,0,0,1
2025-08-30,La Liga,2025-26,Alaves,Ath Madrid,1,1,1,6,2,3,0,0,2,7,5,0,1,0
2025-08-30,La Liga,2025-26,Oviedo,Sociedad,1,0,1,10,2,1,0,0,1,11,3,0,0,0
2025-08-30,La Liga,2025-26,Girona,Sevilla,0,2,11,3,0,2,0,0,2,14,2,0,0,0
2025-08-30,La Liga,2025-26,Real Madrid,Mallorca,2,1,4,5,2,0,0,0,3,9,2,0,1,1
2025-08-31,La Liga,2025-26,Vallecano,Barcelona,1,1,9,4,4,1,0,0,2,13,5,0,1,0
2025-08-31,La Liga,2025-26,Espanol,Osasuna,1,0,2,3,2,3,0,0,1,5,5,0,0,0
2025-08-31,La Liga,2025-26,Betis,Ath Bilbao,1,2,4,10,1,4,0,1,3,14,5,1,1,1
2025-08-31,La Liga,2025-26,Celta,Villarreal,1,1,1,5,1,1,0,0,2,6,2,0,1,0
2025-09-12,La Liga,2025-26,Sevilla,Elche,2,2,2,2,4,3,0,0,4,4,7,0,1,1
2025-09-13,La Liga,2025-26,Getafe,Oviedo,2,0,4,3,2,5,0,1,2,7,7,1,0,0
2025-09-13,La Liga,2025-26,Sociedad,Real Madrid,1,2,12,4,2,1,0,1,3,16,3,1,1,1
2025-09-13,La Liga,2025-26,Ath Bilbao,Alaves,0,1,6,6,4,3,0,0,1,12,7,0,0,0
2025-09-13,La Liga,2025-26,Ath Madrid,Villarreal,2,0,8,3,2,4,0,0,2,11,6,0,0,0
2025-09-14,La Liga,2025-26,Barcelona,Valencia,6,0,5,4,0,1,0,0,6,9,1,0,0,1
2025-09-14,La Liga,2025-26,Osasuna,Vallecano,2,0,3,6,3,2,0,0,2,9,5,0,0,0
2025-09-14,La Liga,2025-26,Celta,Girona,1,1,10,3,0,3,0,0,2,13,3,0,1,0
2025-09-14,La Liga,2025-26,Levante,Betis,2,2,4,12,3,2,0,0,4,16,5,0,1,1
2025-09-15,La Liga,2025-26,Espanol,Mallorca,3,2,3,9,2,1,1,0,5,12,3,1,1,1
2025-09-19,La Liga,2025-26,Betis,Sociedad,3,1,3,5,3,7,0,0,4,8,10,0,1,1
2025-09-20,La Liga,2025-26,Girona,Levante,0,4,5,4,4,3,2,0,4,9,7,2,0,1
2025-09-20,La Liga,2025-26,Real Madrid,Espanol,2,0,5,3,2,0,0,0,2,8,2,0,0,0
2025-09-20,La Liga,2025-26,Alaves,Sevilla,1,2,4,4,1,7,0,0,3,8,8,0,1,1
2025-09-20,La Liga,2025-26,Villarreal,Osasuna,2,1,7,0,2,3,0,1,3,7,5,1,1,1
2025-09-20,La Liga,2025-26,Valencia,Ath Bilbao,2,0,5,6,1,1,0,1,2,11,2,1,0,0
2025-09-21,La Liga,2025-26,Barcelona,Getafe,3,0,3,2,2,4,0,0,3,5,6,0,0,1
2025-09-21,La Liga,2025-26,Elche,Oviedo,1,0,3,3,2,2,0,0,1,6,4,0,0,0
2025-09-21,La Liga,2025-26,Vallecano,Celta,1,1,5,7,1,1,0,0,2,12,2,0,1,0
2025-09-21,La Liga,2025-26,Mallorca,Ath Madrid,1,1,3,6,0,0,0,1,2,9,0,1,1,0
2025-09-23,La Liga,2025-26,Ath Bilbao,Girona,1,1,8,1,0,2,0,0,2,9,2,0,1,0
2025-09-23,La Liga,2025-26,Espanol,Valencia,2,2,8,3,1,4,0,0,4,11,5,0,1,1
2025-09-23,La Liga,2025-26,Levante,Real Madrid,1,4,1,7,1,1,0,0,5,8,2,0,1,1
2025-09-23,La Liga,2025-26,Sevilla,Villarreal,1,2,3,3,2,3,0,0,3,6,5,0,1,1
2025-09-24,La Liga,2025-26,Sociedad,Mallorca,1,0,11,2,2,2,0,0,1,13,4,0,0,0
2025-09-24,La Liga,2025-26,Getafe,Alaves,1,1,2,7,2,3,0,0,2,9,5,0,1,0
2025-09-24,La Liga,2025-26,Ath Madrid,Vallecano,3,2,8,6,3,4,0,0,5,14,7,0,1,1
2025-09-25,La Liga,2025-26,Osasuna,Elche,1,1,2,3,2,2,0,0,2,5,4,0,1,0
2025-09-25,La Liga,2025-26,Oviedo,Barcelona,1,3,6,9,1,0,0,0,4,15,1,0,1,1
2025-09-26,La Liga,2025-26,Girona,Espanol,0,0,8,4,0,1,0,0,0,12,1,0,0,0
2025-09-27,La Liga,2025-26,Getafe,Levante,1,1,6,2,4,3,0,0,2,8,7,0,1,0
2025-09-27,La Liga,2025-26,Ath Madrid,Real Madrid,5,2,7,2,5,4,0,0,7,9,9,0,1,1
2025-09-27,La Liga,2025-26,Mallorca,Alaves,1,0,4,8,2,3,0,0,1,12,5,0,0,0
2025-09-27,La Liga,2025-26,Villarreal,Ath Bilbao,1,0,6,5,2,0,0,0,1,11,2,0,0,0
2025-09-28,La Liga,2025-26,Vallecano,Sevilla,0,1,12,4,3,2,1,0,1,16,5,1,0,0
2025-09-28,La Liga,2025-26,Elche,Celta,2,1,7,2,3,3,0,0,3,9,6,0,1,1
2025-09-28,La Liga,2025-26,Barcelona,Sociedad,2,1,12,1,1,2,0,0,3,13,3,0,1,1
2025-09-28,La Liga,2025-26,Betis,Osasuna,2,0,5,5,0,1,0,0,2,10,1,0,0,0
2025-09-30,La Liga,2025-26,Valencia,Oviedo,1,2,5,4,1,4,0,1,3,9,5,1,1,1
2025-10-03,La Liga,2025-26,Osasuna,Getafe,2,1,1,6,1,4,0,0,3,7,5,0,1,1
