fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2018-08-24,Bundesliga,2018-19,Bayern Munich,Hoffenheim,3,1,7,2,1,4,0,0,4,9,5,0,1,1,1.2,7.5,12.0,1.2,7.86,14.9
2018-08-25,Bundesliga,2018-19,Fortuna Dusseldorf,Augsburg,1,2,7,5,1,0,0,0,3,12,1,0,1,1,2.37,3.25,3.0,2.51,3.32,3.06
2018-08-25,Bundesliga,2018-19,Freiburg,Ein Frankfurt,0,2,6,4,1,2,0,0,2,10,3,0,0,0,2.3,3.3,3.25,2.34,3.4,3.28
2018-08-25,Bundesliga,2018-19,Hertha,Nurnberg,1,0,8,4,2,2,0,0,1,12,4,0,0,0,2.04,3.4,3.75,2.05,3.43,4.06
2018-08-25,Bundesliga,2018-19,M'gladbach,Leverkusen,2,0,9,5,1,2,0,0,2,14,3,0,0,0,2.8,3.5,2.45,2.89,3.69,2.47
2018-08-25,Bundesliga,2018-19,Werder Bremen,Hannover,1,1,4,3,0,0,0,0,2,7,0,0,1,0,1.85,3.6,4.0,1.93,3.79,4.1
2018-08-25,Bundesliga,2018-19,Wolfsburg,Schalke 04,2,1,7,2,5,3,0,1,3,9,8,1,1,1,3.1,3.3,2.37,3.36,3.25,2.37
2018-08-26,Bundesliga,2018-19,Mainz,Stuttgart,1,0,6,3,1,2,0,0,1,9,3,0,0,0,2.7,3.25,2.7,2.92,3.22,2.67
2018-08-26,Bundesliga,2018-19,Dortmund,RB Leipzig,4,1,7,9,2,2,0,0,5,16,4,0,1,1,1.72,3.8,4.75,1.79,4.05,4.57
2018-08-31,Bundesliga,2018-19,Hannover,Dortmund,0,0,4,1,0,0,0,0,0,5,0,0,0,0,5.5,4.33,1.57,5.44,4.25,1.65
2018-09-01,Bundesliga,2018-19,Augsburg,M'gladbach,1,1,9,4,1,2,0,0,2,13,3,0,1,0,2.62,3.4,2.7,2.64,3.41,2.83
2018-09-01,Bundesliga,2018-19,Ein Frankfurt,Werder Bremen,1,2,8,3,1,2,1,0,3,11,3,1,1,1,2.4,3.5,2.9,2.47,3.47,2.97
2018-09-01,Bundesliga,2018-19,Hoffenheim,Freiburg,3,1,6,4,1,2,0,0,4,10,3,0,1,1,1.55,4.0,6.5,1.6,4.19,6.14
2018-09-01,Bundesliga,2018-19,Leverkusen,Wolfsburg,1,3,5,3,3,3,0,0,4,8,6,0,1,1,1.61,4.33,5.0,1.64,4.27,5.47
2018-09-01,Bundesliga,2018-19,Nurnberg,Mainz,1,1,5,1,2,2,0,0,2,6,4,0,1,0,2.37,3.3,3.1,2.37,3.23,3.39
2018-09-01,Bundesliga,2018-19,Stuttgart,Bayern Munich,0,3,0,12,0,0,0,0,3,12,0,0,0,1,11.0,5.5,1.28,10.3,5.96,1.31
2018-09-02,Bundesliga,2018-19,RB Leipzig,Fortuna Dusseldorf,1,1,3,3,1,4,0,0,2,6,5,0,1,0,1.4,4.75,8.0,1.41,4.92,8.87
2018-09-02,Bundesliga,2018-19,Schalke 04,Hertha,0,2,9,0,1,1,1,0,2,9,2,1,0,0,1.75,3.6,5.0,1.79,3.53,5.53
2018-09-14,Bundesliga,2018-19,Dortmund,Ein Frankfurt,3,1,7,1,0,1,0,0,4,8,1,0,1,1,1.4,5.0,7.5,1.44,4.77,8.02
2018-09-15,Bundesliga,2018-19,Bayern Munich,Leverkusen,3,1,9,1,0,1,0,1,4,10,1,1,1,1,1.2,7.0,13.0,1.23,6.86,13.74
2018-09-15,Bundesliga,2018-19,Fortuna Dusseldorf,Hoffenheim,2,1,0,9,1,2,0,0,3,9,3,0,1,1,4.0,3.6,1.9,4.06,3.92,1.89
2018-09-15,Bundesliga,2018-19,Mainz,Augsburg,2,1,5,4,1,2,0,0,3,9,3,0,1,1,2.54,3.25,2.87,2.73,3.2,2.85
2018-09-15,Bundesliga,2018-19,M'gladbach,Schalke 04,2,1,6,6,0,4,0,0,3,12,4,0,1,1,2.37,3.4,3.0,2.51,3.34,3.05
2018-09-15,Bundesliga,2018-19,RB Leipzig,Hannover,3,2,4,12,4,4,0,0,5,16,8,0,1,1,1.53,4.33,5.5,1.56,4.42,6.17
2018-09-15,Bundesliga,2018-19,Wolfsburg,Hertha,2,2,7,2,1,2,0,0,4,9,3,0,1,1,2.1,3.25,3.75,2.12,3.22,4.05
2018-09-16,Bundesliga,2018-19,Freiburg,Stuttgart,3,3,5,8,3,4,1,0,6,13,7,1,1,1,2.62,3.25,2.75,2.76,3.17,2.87
2018-09-16,Bundesliga,2018-19,Werder Bremen,Nurnberg,1,1,4,7,2,0,0,0,2,11,2,0,1,0,1.66,4.0,5.0,1.68,4.05,5.39
2018-09-21,Bundesliga,2018-19,Stuttgart,Fortuna Dusseldorf,0,0,2,9,0,2,0,0,0,11,2,0,0,0,1.72,3.6,5.25,1.78,3.84,4.81
2018-09-22,Bundesliga,2018-19,Wolfsburg,Freiburg,1,3,7,7,0,3,0,0,4,14,3,0,1,1,1.72,3.6,5.25,1.75,3.73,5.26
2018-09-22,Bundesliga,2018-19,Schalke 04,Bayern Munich,0,2,0,8,2,1,0,0,2,8,3,0,0,0,8.0,4.5,1.4,8.56,4.94,1.41
2018-09-22,Bundesliga,2018-19,Nurnberg,Hannover,2,0,9,3,3,1,0,1,2,12,4,1,0,0,2.5,3.25,2.9,2.48,3.37,3.03
2018-09-22,Bundesliga,2018-19,Augsburg,Werder Bremen,2,3,7,4,2,2,0,0,5,11,4,0,1,1,2.5,3.25,2.9,2.53,3.48,2.89
2018-09-22,Bundesliga,2018-19,Hertha,M'gladbach,4,2,8,7,2,2,0,0,6,15,4,0,1,1,2.37,3.3,3.1,2.51,3.39,2.97
2018-09-22,Bundesliga,2018-19,Hoffenheim,Dortmund,1,1,4,4,2,1,0,1,2,8,3,1,1,0,2.62,3.75,2.4,2.72,3.73,2.54
