fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2016-09-25,Ligue 1,2016-17,Marseille,Nantes,2,1,5,5,3,10,1,1
2016-09-30,Ligue 1,2016-17,Rennes,Guingamp,1,0,6,2,1,8,0,0
2016-10-01,Ligue 1,2016-17,Caen,Toulouse,1,0,4,2,1,6,0,0
2016-10-01,Ligue 1,2016-17,Dijon,Montpellier,3,3,5,4,6,9,1,1
2016-10-01,Ligue 1,2016-17,Lille,Nancy,1,0,8,4,1,12,0,0
2016-10-01,Ligue 1,2016-17,Metz,Monaco,0,7,7,4,7,11,0,1
2016-10-01,Ligue 1,2016-17,Nantes,Bastia,1,0,3,2,1,5,0,0
2016-10-01,Ligue 1,2016-17,Paris SG,Bordeaux,2,0,11,2,2,13,0,0
2016-10-02,Ligue 1,2016-17,Nice,Lorient,2,1,3,5,3,8,1,1
2016-10-02,Ligue 1,2016-17,Angers,Marseille,1,1,3,7,2,10,1,0
2016-10-02,Ligue 1,2016-17,Lyon,St Etienne,2,0,7,7,2,14,0,0
2016-10-14,Ligue 1,2016-17,Toulouse,Monaco,3,1,6,1,4,7,1,1
2016-10-14,Ligue 1,2016-17,Nice,Lyon,2,0,1,4,2,5,0,0
2016-10-15,Ligue 1,2016-17,Bastia,Angers,1,2,6,4,3,10,1,1
2016-10-15,Ligue 1,2016-17,Guingamp,Lille,1,0,7,0,1,7,0,0
2016-10-15,Ligue 1,2016-17,Lorient,Nantes,1,2,6,1,3,7,1,1
2016-10-15,Ligue 1,2016-17,Montpellier,Caen,3,2,5,2,5,7,1,1
2016-10-15,Ligue 1,2016-17,Nancy,Paris SG,1,2,4,1,3,5,1,1
2016-10-16,Ligue 1,2016-17,Marseille,Metz,1,0,2,6,1,8,0,0
2016-10-16,Ligue 1,2016-17,Rennes,Bordeaux,1,1,8,3,2,11,1,0
2016-10-16,Ligue 1,2016-17,St Etienne,Dijon,1,1,10,4,2,14,1,0
2016-10-21,Ligue 1,2016-17,Monaco,Montpellier,6,2,6,2,8,8,1,1
2016-10-22,Ligue 1,2016-17,Nantes,Rennes,1,2,3,0,3,3,1,1
