fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2017-09-17,First Division A,2017-18,Eupen,Standard,1,1,3,7,3,5,0,0,2,10,8,0,1,0
2017-09-17,First Division A,2017-18,Oostende,Gent,0,2,9,7,0,3,0,0,2,16,3,0,0,0
2017-09-22,First Division A,2017-18,Antwerp,Kortrijk,3,0,4,8,2,2,0,0,3,12,4,0,0,1
2017-09-23,First Division A,2017-18,Waasland-Beveren,Anderlecht,1,2,12,5,2,4,0,0,3,17,6,0,1,1
2017-09-23,First Division A,2017-18,Mouscron,Eupen,3,2,4,5,4,3,1,0,5,9,7,1,1,1
2017-09-23,First Division A,2017-18,Mechelen,St Truiden,2,0,6,2,4,1,1,0,2,8,5,1,0,0
2017-09-23,First Division A,2017-18,Genk,Oostende,1,1,5,3,2,3,0,0,2,8,5,0,1,0
2017-09-24,First Division A,2017-18,Charleroi,Club Brugge,1,2,4,5,2,4,0,0,3,9,6,0,1,1
2017-09-24,First Division A,2017-18,Gent,Waregem,0,1,7,3,4,2,0,0,1,10,6,0,0,0
2017-09-24,First Division A,2017-18,Standard,Lokeren,2,1,5,3,2,5,1,1,3,8,7,2,1,1
2017-09-29,First Division A,2017-18,St Truiden,Charleroi,0,1,5,5,2,3,0,0,1,10,5,0,0,0
2017-09-30,First Division A,2017-18,Eupen,Genk,3,3,4,3,2,2,0,0,6,7,4,0,1,1
2017-09-30,First Division A,2017-18,Kortrijk,Oostende,1,2,13,4,1,1,1,0,3,17,2,1,1,1
2017-09-30,First Division A,2017-18,Mouscron,Mechelen,2,2,0,9,3,3,0,0,4,9,6,0,1,1
2017-09-30,First Division A,2017-18,Waasland-Beveren,Antwerp,3,0,3,3,2,1,0,0,3,6,3,0,0,1
2017-10-01,First Division A,2017-18,Anderlecht,Standard,1,0,4,3,2,1,0,0,1,7,3,0,0,0
2017-10-01,First Division A,2017-18,Club Brugge,Gent,2,1,4,5,2,1,0,0,3,9,3,0,1,1
2017-10-01,First Division A,2017-18,Waregem,Lokeren,1,3,11,1,1,0,0,0,4,12,1,0,1,1
2017-10-13,First Division A,2017-18,Mechelen,Anderlecht,3,4,6,3,1,4,0,0,7,9,5,0,1,1
2017-10-14,First Division A,2017-18,Lokeren,St Truiden,1,1,11,2,1,5,0,1,2,13,6,1,1,0
2017-10-14,First Division A,2017-18,Gent,Waasland-Beveren,2,0,7,1,2,2,0,1,2,8,4,1,0,0
2017-10-14,First Division A,2017-18,Genk,Mouscron,1,1,20,2,2,3,0,0,2,22,5,0,1,0
2017-10-14,First Division A,2017-18,Charleroi,Eupen,2,2,8,4,2,5,0,0,4,12,7,0,1,1
2017-10-15,First Division A,2017-18,Antwerp,Waregem,3,0,3,5,2,3,0,1,3,8,5,1,0,1
2017-10-15,First Division A,2017-18,Oostende,Club Brugge,2,3,4,4,4,3,0,1,5,8,7,1,1,1
2017-10-15,First Division A,2017-18,Standard,Kortrijk,3,1,4,4,3,3,1,1,4,8,6,2,1,1
2017-10-20,First Division A,2017-18,Mouscron,Standard,1,3,3,2,2,3,0,0,4,5,5,0,1,1
2017-10-21,First Division A,2017-18,Eupen,Mechelen,4,1,6,8,4,2,0,0,5,14,6,0,1,1
2017-10-21,First Division A,2017-18,Kortrijk,Gent,1,1,3,11,3,2,0,0,2,14,5,0,1,0
2017-10-21,First Division A,2017-18,Lokeren,Charleroi,1,1,1,5,1,0,0,0,2,6,1,0,1,0
2017-10-21,First Division A,2017-18,St Truiden,Oostende,1,0,2,5,1,4,0,0,1,7,5,0,0,0
2017-10-22,First Division A,2017-18,Anderlecht,Genk,0,1,8,4,4,2,0,0,1,12,6,0,0,0
2017-10-22,First Division A,2017-18,Club Brugge,Antwerp,1,0,5,3,2,5,0,0,1,8,7,0,0,0
2017-10-22,First Division A,2017-18,Waregem,Waasland-Beveren,2,5,11,2,1,1,0,0,7,13,2,0,1,1
