fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5
2017-08-06,Primeira Liga,2017-18,Aves,Sp Lisbon,0,2,6,3,1,0,0,0,2,9,1,0,0,0
2017-08-06,Primeira Liga,2017-18,Setubal,Moreirense,1,1,4,8,1,3,1,0,2,12,4,1,1,0
2017-08-07,Primeira Liga,2017-18,Feirense,Tondela,1,1,5,3,4,1,0,0,2,8,5,0,1,0
2017-08-07,Primeira Liga,2017-18,Portimonense,Boavista,2,1,9,4,1,1,0,0,3,13,2,0,1,1
2017-08-07,Primeira Liga,2017-18,Rio Ave,Belenenses,1,0,4,8,2,2,0,0,1,12,4,0,0,0
2017-08-08,Primeira Liga,2017-18,Maritimo,Pacos Ferreira,1,0,0,7,2,2,0,0,1,7,4,0,0,0
2017-08-09,Primeira Liga,2017-18,Benfica,Sp Braga,3,1,6,2,2,3,0,0,4,8,5,0,1,1
2017-08-09,Primeira Liga,2017-18,Porto,Estoril,4,0,10,5,1,1,0,0,4,15,2,0,0,1
2017-08-10,Primeira Liga,2017-18,Guimaraes,Chaves,3,2,9,7,1,4,0,0,5,16,5,0,1,1
2017-08-11,Primeira Liga,2017-18,Sp Lisbon,Setubal,1,0,7,1,1,2,0,0,1,8,3,0,0,0
2017-08-12,Primeira Liga,2017-18,Belenenses,Maritimo,1,0,9,4,3,1,0,0,1,13,4,0,0,0
2017-08-12,Primeira Liga,2017-18,Boavista,Rio Ave,1,2,2,3,3,3,0,0,3,5,6,0,1,1
2017-08-12,Primeira Liga,2017-18,Moreirense,Feirense,0,0,8,4,1,2,0,0,0,12,3,0,0,0
2017-08-13,Primeira Liga,2017-18,Pacos Ferreira,Aves,2,2,2,3,1,3,0,0,4,5,4,0,1,1
2017-08-13,Primeira Liga,2017-18,Sp Braga,Portimonense,2,1,5,7,3,3,0,0,3,12,6,0,1,1
2017-08-13,Primeira Liga,2017-18,Tondela,Porto,0,1,2,6,3,2,0,0,1,8,5,0,0,0
2017-08-14,Primeira Liga,2017-18,Chaves,Benfica,0,1,5,13,1,2,0,0,1,18,3,0,0,0
2017-08-14,Primeira Liga,2017-18,Estoril,Guimaraes,3,0,4,7,2,3,1,2,3,11,5,3,0,1
2017-08-18,Primeira Liga,2017-18,Rio Ave,Portimonense,2,0,4,6,0,0,0,0,2,10,0,0,0,0
2017-08-19,Primeira Liga,2017-18,Benfica,Belenenses,5,0,6,2,0,1,0,0,5,8,1,0,0,1
2017-08-19,Primeira Liga,2017-18,Guimaraes,Sp Lisbon,0,5,5,3,3,2,0,0,5,8,5,0,0,1
2017-08-19,Primeira Liga,2017-18,Tondela,Estoril,2,3,6,1,3,2,0,0,5,7,5,0,1,1
2017-08-20,Primeira Liga,2017-18,Aves,Sp Braga,0,2,4,8,1,0,1,0,2,12,1,1,0,0
2017-08-20,Primeira Liga,2017-18,Maritimo,Boavista,1,0,2,6,0,1,0,0,1,8,1,0,0,0
2017-08-20,Primeira Liga,2017-18,Porto,Moreirense,3,0,13,3,0,2,0,0,3,16,2,0,0,1
2017-08-20,Primeira Liga,2017-18,Setubal,Chaves,1,1,8,1,1,4,0,1,2,9,5,1,1,0
2017-08-21,Primeira Liga,2017-18,Feirense,Pacos Ferreira,2,1,5,5,2,2,0,0,3,10,4,0,1,1
2017-08-25,Primeira Liga,2017-18,Belenenses,Setubal,1,1,6,6,3,2,1,0,2,12,5,1,1,0
2017-08-26,Primeira Liga,2017-18,Chaves,Feirense,0,2,13,3,1,4,0,0,2,16,5,0,0,0
2017-08-26,Primeira Liga,2017-18,Moreirense,Tondela,0,3,8,5,3,1,1,0,3,13,4,1,0,1
2017-08-26,Primeira Liga,2017-18,Pacos Ferreira,Guimaraes,0,0,4,7,3,4,1,0,0,11,7,1,0,0
2017-08-26,Primeira Liga,2017-18,Rio Ave,Benfica,1,1,4,5,4,2,0,0,2,9,6,0,1,0
2017-08-27,Primeira Liga,2017-18,Boavista,Aves,1,0,2,2,2,1,0,1,1,4,3,1,0,0
2017-08-27,Primeira Liga,2017-18,Sp Braga,Porto,0,1,5,7,3,4,0,0,1,12,7,0,0,0
2017-08-27,Primeira Liga,2017-18,Sp Lisbon,Estoril,2,1,7,3,4,5,0,0,3,10,9,0,1,1
2017-08-28,Primeira Liga,2017-18,Portimonense,Maritimo,1,2,4,5,1,3,0,0,3,9,4,0,1,1
2017-09-08,Primeira Liga,2017-18,Feirense,Sp Lisbon,2,3,5,10,3,1,0,0,5,15,4,0,1,1
2017-09-08,Primeira Liga,2017-18,Benfica,Portimonense,2,1,5,3,0,4,0,1,3,8,4,1,1,1
2017-09-09,Primeira Liga,2017-18,Maritimo,Rio Ave,1,0,8,3,0,3,0,1,1,11,3,1,0,0
2017-09-09,Primeira Liga,2017-18,Porto,Chaves,3,0,8,2,1,3,0,0,3,10,4,0,0,1
