fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,total_goles,total_corners,total_amarillas,total_rojas,ambos_marcan,over_2_5,b365_local,b365_empate,b365_visit,ps_local,ps_empate,ps_visit
2017-08-11,Super Lig,2017-18,Buyuksehyr,Bursaspor,1,0,0,3,1,1,0,0,1,3,2,0,0,0,1.36,4.75,8.5,1.42,4.92,8.46
2017-08-12,Super Lig,2017-18,Akhisar Belediyespor,Sivasspor,1,0,3,4,3,2,0,0,1,7,5,0,0,0,2.0,3.4,3.75,2.06,3.53,3.88
2017-08-12,Super Lig,2017-18,Alanyaspor,Kasimpasa,1,3,5,3,2,4,0,0,4,8,6,0,1,1,2.15,3.4,3.3,2.21,3.79,3.24
2017-08-12,Super Lig,2017-18,Genclerbirligi,Karabukspor,1,1,4,1,2,3,0,0,2,5,5,0,1,0,2.0,3.5,3.6,2.01,3.37,4.33
2017-08-12,Super Lig,2017-18,Goztep,Fenerbahce,2,2,0,4,4,1,0,0,4,4,5,0,1,1,4.75,3.6,1.73,5.02,3.91,1.76
2017-08-13,Super Lig,2017-18,Besiktas,Antalyaspor,2,0,3,3,3,4,0,0,2,6,7,0,0,0,1.4,4.5,7.5,1.47,4.8,7.27
2017-08-13,Super Lig,2017-18,Trabzonspor,Konyaspor,2,1,1,6,4,2,0,0,3,7,6,0,1,1,1.65,3.5,5.75,1.69,3.8,5.82
2017-08-13,Super Lig,2017-18,Yeni Malatyaspor,Osmanlispor,3,1,3,5,1,3,0,1,4,8,4,1,1,1,2.88,3.2,2.5,2.7,3.4,2.37
2017-08-14,Super Lig,2017-18,Galatasaray,Kayserispor,4,1,2,2,2,4,0,1,5,4,6,1,1,1,1.53,3.75,7.0,1.58,4.49,5.88
2017-08-18,Super Lig,2017-18,Kasimpasa,Besiktas,2,2,4,4,4,2,0,0,4,8,6,0,1,1,4.75,4.0,1.67,5.0,4.28,1.69
2017-08-19,Super Lig,2017-18,Bursaspor,Alanyaspor,3,2,1,2,2,2,0,0,5,3,4,0,1,1,2.0,3.6,3.5,2.14,3.61,3.55
