fecha,liga,temporada,equipo_local,equipo_visitante,goles_local,goles_visitante,corners_local,corners_visitante,total_goles,total_corners,ambos_marcan,over_2_5
2016-08-06,Scottish Premiership,2016-17,Kilmarnock,Motherwell,1,2,5,3,3,8,1,1
2016-08-06,Scottish Premiership,2016-17,Partick,Inverness C,2,0,2,5,2,7,0,0
2016-08-06,Scottish Premiership,2016-17,Rangers,Hamilton,1,1,10,4,2,14,1,0
2016-08-06,Scottish Premiership,2016-17,Ross County,Dundee,1,3,7,2,4,9,1,1
2016-08-07,Scottish Premiership,2016-17,Hearts,Celtic,1,2,5,6,3,11,1,1
2016-08-07,Scottish Premiership,2016-17,St Johnstone,Aberdeen,0,0,2,7,0,9,0,0
2016-08-13,Scottish Premiership,2016-17,Aberdeen,Hearts,0,0,3,1,0,4,0,0
2016-08-13,Scottish Premiership,2016-17,Dundee,Rangers,1,2,5,5,3,10,1,1
2016-08-13,Scottish Premiership,2016-17,Hamilton,Kilmarnock,1,2,3,3,3,6,1,1
2016-08-13,Scottish Premiership,2016-17,Inverness C,Ross County,2,3,6,4,5,10,1,1
2016-08-13,Scottish Premiership,2016-17,Motherwell,St Johnstone,1,2,6,3,3,9,1,1
2016-08-19,Scottish Premiership,2016-17,Dundee,Hamilton,1,1,4,6,2,10,1,0
2016-08-20,Scottish Premiership,2016-17,St Johnstone,Celtic,2,4,1,6,6,7,1,1
2016-08-20,Scottish Premiership,2016-17,Ross County,Kilmarnock,2,0,6,4,2,10,0,0
2016-08-20,Scottish Premiership,2016-17,Aberdeen,Partick,2,1,3,6,3,9,1,1
2016-08-20,Scottish Premiership,2016-17,Hearts,Inverness C,5,1,6,8,6,14,1,1
2016-08-20,Scottish Premiership,2016-17,Rangers,Motherwell,2,1,14,4,3,18,1,1
2016-08-26,Scottish Premiership,2016-17,Kilmarnock,Rangers,1,1,2,8,2,10,1,0
2016-08-27,Scottish Premiership,2016-17,Celtic,Aberdeen,4,1,4,1,5,5,1,1
2016-08-27,Scottish Premiership,2016-17,Hamilton,Ross County,1,0,6,5,1,11,0,0
2016-08-27,Scottish Premiership,2016-17,Inverness C,St Johnstone,2,1,6,1,3,7,1,1
2016-08-27,Scottish Premiership,2016-17,Motherwell,Dundee,0,0,8,5,0,13,0,0
2016-08-27,Scottish Premiership,2016-17,Partick,Hearts,1,2,8,5,3,13,1,1
2016-09-10,Scottish Premiership,2016-17,Ross County,Motherwell,1,1,3,3,2,6,1,0
2016-09-10,Scottish Premiership,2016-17,Hearts,Hamilton,3,1,8,3,4,11,1,1
